similarity,distance_m,a_id,a_name,a_slug,a_island,a_type,a_categories,a_google_id,a_rating,b_id,b_name,b_slug,b_island,b_type,b_categories,b_google_id,b_rating,recommended_action
0.74,196,ba10124b-d115-4390-932f-5a644af4ac28,Sandhamns Vardshus,sandhamns-vardshus,Sandhamn,restaurant,restaurant|breakfast|harbor_stop,,,913ae3cd-ef68-40de-852e-4e88775bf595,Sandhamns Värdshus,sandhamn-sandhamns-vardshus,Sandhamn,hotel,accommodation|bnb,ChIJv0shaRB09UYRnLQ3Jv5-Khs,4.4,"behåll B (913ae3cd…), radera A"
0.72,0,167cd2b6-5eb8-45ed-a025-4ffa4b22f0a0,Blidö Värdshus,blido-vardshus,Blidö,restaurant,,,,4f7ec910-0dc7-4112-bef9-87ddea5ba1d4,Lidö Värdshus,lido-vardshus,Lidö,restaurant,restaurant|harbor_stop|hidden_gem,ChIJadlAAX6dX0YRXafo67BJgAU,4.3,"behåll B (4f7ec910…), radera A"
0.64,0,4f7ec910-0dc7-4112-bef9-87ddea5ba1d4,Lidö Värdshus,lido-vardshus,Lidö,restaurant,restaurant|harbor_stop|hidden_gem,ChIJadlAAX6dX0YRXafo67BJgAU,4.3,03a63701-dd91-4bb1-a7bb-ba70b884cf5a,Lidö Värdshus (STF),lido-lido-vardshus-stf,Lidö,hotel,accommodation|hostel,,,"behåll A (4f7ec910…), radera B"
0.56,143,8a0089ce-c568-41b1-8f01-69dc0e79679f,Lilla Trouville Stranden,lilla-trouville-stranden,,beach,,,,9b08f6e4-c96d-446f-a96f-654cd5dd253a,Stora Trouvillestranden,stora-trouvillestranden,,beach,,ChIJ94E0Smx19UYRkHTBdIXTna4,4.6,"behåll B (9b08f6e4…), radera A"
0.53,29,ab9c5251-18bb-4016-8f12-796a432d23c7,Bakfickan Utö,bakfickan-uto,Utö,restaurant,restaurant|lunch_stop|family_stop,ChIJzQw1X3eM9UYRn1XHJfUuHuE,3.7,05bec40e-3d67-4714-bdcc-64aeb46dbb07,Utö Bakficka,uto-bakficka,Utö,restaurant,,,,"behåll A (ab9c5251…), radera B"
0.48,24,cbef9c2e-538b-4648-9d91-ad446482f767,Restaurang Mamsell,restaurang-mamsell,Fjällbacka,restaurant,hamnkrog,ChIJ-z7C6Oa1RUYRt-Xr9dmGxdA,4.6,0159d6d4-b647-460a-bffe-594d23683237,Restaurang Matilda,restaurang-matilda,Fjällbacka,restaurant,hamnkrog,ChIJEeSUmsi0RUYRWtLjFCrt5uc,4.3,manuell granskning
0.48,0,167cd2b6-5eb8-45ed-a025-4ffa4b22f0a0,Blidö Värdshus,blido-vardshus,Blidö,restaurant,,,,03a63701-dd91-4bb1-a7bb-ba70b884cf5a,Lidö Värdshus (STF),lido-lido-vardshus-stf,Lidö,hotel,accommodation|hostel,,,manuell granskning
0.48,0,1bb6e111-fa43-441f-9ea8-c08433a0aa3f,Dalarö Skans Hotell,dalaro-dalaro-skans-hotell,Dalarö,hotel,accommodation|hotel,,,7fbc8f43-71d1-4c25-9a2d-f4e10c1091fb,Dalarö Skansen,dalaro-skansen,Dalarö,restaurant,,ChIJqbUlqmqG9UYRq4NM5To0Z20,4.4,"behåll B (7fbc8f43…), radera A"
0.46,151,df28421e-a7d9-42b4-a7d4-90098848868e,Norra Hamnen 5,norra-hamnen-5,Lysekil,restaurant,hamnkrog,ChIJT6G7GbSjRUYRxwR_9iCnLJE,4.5,0bdc32ab-b319-480e-82ff-1af574ac3e03,Norra Hamnens Gästhamn,norra-hamnens-gasthamn,Lysekil,harbor,gasthamn,ChIJ4SMFLZejRUYRD_vmxTPYlkU,4.1,manuell granskning
0.45,136,622e522d-d298-4060-aff8-64854619f833,Ingmarsö B&B,ingmarso-ingmarso-bochb,Ingmarsö,hotel,accommodation|bnb,ChIJL0soeZpl9UYRyI1Dg6bguC8,4.7,c700522e-224f-403a-8555-711e454cedba,Ingmarsö Café,ingmarso-cafe,Ingmarsö,restaurant,,,,"behåll A (622e522d…), radera B"
0.45,36,1f844881-18b8-4afb-9988-42499e700c59,Klintan,klintan,Ljusterö,restaurant,restaurant|harbor_stop|guest_harbor|fuel,ChIJr0Gb6zVh9UYRgB750hTwokE,4.2,0fd443cc-700e-4e2b-900b-5cc401b84bd9,Klintan sjöstation,klintan-sjöstation,Ljusterö,fuel,fuel|service_point,,,"behåll A (1f844881…), radera B"
0.43,159,e3b09f57-3418-4035-a889-9edb01424890,Gullholmens Gästhamn,gullholmens-gasthamn,Gullholmen,harbor,gasthamn,ChIJXf8B0CeZRUYReoEz6S5KqYI,4.4,240b8f1c-7fee-49ff-8544-3c4d6b3666ca,Gullholmens Krog,gullholmens-krog,Gullholmen,restaurant,restaurant|hidden_gem|historic,ChIJe7p-utiYRUYR-D_3L3y1PZo,3.9,manuell granskning
0.41,50,c87530e0-4065-4c85-8cae-aa4ab65bb968,Hamburgsunds Gästhamn,hamburgsunds-gasthamn,Hamburgsund,marina,marina|harbor_stop,ChIJsSSEzrK1RUYR_gWJPFgfWVQ,4.3,262ab44c-7461-4b31-96f3-21536dba7b0a,Hamburgsunds Värdshus,hamburgsunds-vardshus,Hamburgsund,restaurant,restaurant|harbor_stop,ChIJ0cTVQMi0RUYR1wlhQd5ZRV0,4.4,manuell granskning
0.40,41,2ce8c642-8fe8-4dd5-ac03-1fcb19051f43,Bara Smör Fjällbacka,bara-smor-fjallbacka,Fjällbacka,restaurant,hamnkrog,ChIJKTSWNey1RUYRELop6OU0cKM,5,a21593c3-8abd-4166-bb80-9ab45aa6741b,Bryggan Fjällbacka,bryggan-fjallbacka-bohuslan,,restaurant,cafe,ChIJy7p8hsi0RUYR6XAUS_XAEsQ,3.9,manuell granskning
0.40,197,41ee1cd0-6d9e-401a-9758-823dd8c46000,Ellös Hamn,ellos-hamn,Ellös,harbor,gasthamn,ChIJP7vQafmfRUYRHwBjSNINo_c,4.3,fa2b973d-6975-4728-a39e-27ec25790b73,Ellös havscafe,ellos-havscafe,Ellös,restaurant,hamnkrog,ChIJ5QUtDbOfRUYRc4akD20cta0,4,manuell granskning
0.39,113,ace6adb2-c3e7-4906-8331-f042b984c377,Restaurang Kroken,restaurang-kroken,Fjällbacka,restaurant,hamnkrog,ChIJoQphJsa0RUYRM0T1M92_c9c,4,cbef9c2e-538b-4648-9d91-ad446482f767,Restaurang Mamsell,restaurang-mamsell,Fjällbacka,restaurant,hamnkrog,ChIJ-z7C6Oa1RUYRt-Xr9dmGxdA,4.6,manuell granskning
0.39,99,ace6adb2-c3e7-4906-8331-f042b984c377,Restaurang Kroken,restaurang-kroken,Fjällbacka,restaurant,hamnkrog,ChIJoQphJsa0RUYRM0T1M92_c9c,4,0159d6d4-b647-460a-bffe-594d23683237,Restaurang Matilda,restaurang-matilda,Fjällbacka,restaurant,hamnkrog,ChIJEeSUmsi0RUYRWtLjFCrt5uc,4.3,manuell granskning
0.39,50,9260eaa7-7ad3-4f62-a38a-9241781c504c,Bullandö Krog,bullando-krog,Bullandö,restaurant,,ChIJ43MYF_SAX0YRNutEzwafWHI,4.6,3090fa05-3a95-482e-b891-3ebd3bc23a49,Bullandö Marina,bullanda-marina,Bullandö,fuel,fuel|guest_harbor|service_point|provisions,ChIJFTI9uwh59UYRdiGxbvrCYpA,4.5,manuell granskning
0.39,18,e61ac984-b972-43d2-8ac2-dc290807e068,Gällnö Bar,gallno-bar,Gällnö,bar,bar|harbor_stop|hidden_gem,ChIJ1R1Vx4J89UYR7oPNdAoQRVU,4.5,5751992a-f546-4daa-b5ae-de98de8893d2,Gällnö Krog,gallno-krog,Gällnö,restaurant,,,,"behåll A (e61ac984…), radera B"
0.38,46,8cf32cd2-4e3d-4b2a-9fa3-9f65eb9348d3,Öckerö hamn drivmedel,ockero-hamn-drivmedel,Öckerö,fuel,bensin,ChIJWZgyaPePT0YR4qykgeQXTzI,4.5,56246205-8b02-4b82-85ab-3f61170cbe92,Öckerö Hamncafé,ockero-hamncaf,Öckerö,restaurant,hamnkrog,ChIJCxUeVISPT0YR0XU1QeqC_L4,4.3,manuell granskning
0.37,49,8a4682ea-e40e-4257-a2cf-e81c810678e0,Grebys Restaurang,grebys-restaurang,Grebbestad,restaurant,hamnkrog,ChIJCV2sXj5KREYRfarRrWqjJ0k,4.3,6184587b-27c1-4970-80cd-fa88effc548d,"Restaurang Q skär, Grebbestad",restaurang-q-skar-grebbestad,Grebbestad,restaurant,hamnkrog,ChIJJctW-D5KREYR_SSkTwaDDoE,4,manuell granskning
0.37,47,8a4682ea-e40e-4257-a2cf-e81c810678e0,Grebys Restaurang,grebys-restaurang,Grebbestad,restaurant,hamnkrog,ChIJCV2sXj5KREYRfarRrWqjJ0k,4.3,acc49beb-b1ae-40ca-86e3-b57a7669ceda,Restaurang Macri,restaurang-macri,Grebbestad,restaurant,hamnkrog,ChIJ5RKgJxhKREYRkH9loU_Mu_w,4,manuell granskning
0.37,4,b88d96ba-dbd5-4ea6-8a3c-ab727776aba1,Motorverkstan Bistro & Bar,motorverkstan-bistro-bar,Stavsnäs,bar,bar|restaurant|hidden_gem,ChIJVVzSCL159UYRPj4ey_6AZUw,4.3,5878f0f9-4b39-435b-b44f-cb35712ba64c,Motorverkstan på Djurö,motorverkstan-djuro,Djurö,bar,bar|restaurant|hidden_gem,,,"behåll A (b88d96ba…), radera B"
0.36,58,ab9c5251-18bb-4016-8f12-796a432d23c7,Bakfickan Utö,bakfickan-uto,Utö,restaurant,restaurant|lunch_stop|family_stop,ChIJzQw1X3eM9UYRn1XHJfUuHuE,3.7,8457d36a-e807-4855-a678-f61bfdc7c074,Bakgården Utö,bakgarden-uto,Utö,cafe,cafe|hidden_gem|coffee,ChIJtdXqPzmL9UYRpfQ6v-B8wZA,4.6,manuell granskning
