# Rådata, tur 06c13078-f714-463b-bf52-722649dfb574 (Tom, bil, >17 min-turen, 2026-09-11 14:58–15:20 UTC)
# Exporterad ur gps_points 2026-09-11. 1305 fixar, alla med rådata, ingen lucka > 7 s. T0 = 2026-09-11 14:58:19.643+00
# Kolumner: ms_sedan_start,raw_lat*1e6,raw_lng*1e6,enhetsfart_kn*100,kurs_grader,accuracy_m ; radskiljare ';'
# Sparat i databasen: distance 17.45 NM (∫Doppler), distanceSmoothedNM 17.77, distanceRawNM 17.61, average 49.0, max 82.5, duration_seconds 1306.
# Facit mot bil: bilens Trip 2 nollställdes före start och fotades STILLASTÅENDE (0 mph) efter spara: 20.5 mi = 17.81 NM (avrundning 20.45–20.55 mi → 17.77–17.86 NM).
# Bilens vägmätare har egen okänd kalibrering (typiskt ±1–2 %). Första ~12 s och sista ~25 s stilla (0 kn).
0,36952102,-86012912,0,294,10;999,36952102,-86012912,0,294,10;1999,36952102,-86012912,0,294,10;
3001,36952102,-86012912,0,294,10;4004,36952102,-86012912,0,294,10;5003,36952102,-86012912,0,294,10;
6003,36952102,-86012912,0,294,10;7004,36952102,-86012912,0,294,10;8004,36952102,-86012912,0,294,10;
9004,36952102,-86012912,0,294,10;10004,36952102,-86012912,0,294,10;11006,36952102,-86012912,0,294,10;
12006,36952104,-86012917,50,293,10;13007,36952107,-86012928,160,291,10;14007,36952113,-86012951,370,287,10;
15008,36952120,-86012988,590,281,10;16009,36952125,-86013035,750,278,10;17009,36952133,-86013090,910,282,10;
18010,36952150,-86013152,1070,291,10;19011,36952176,-86013225,1290,294,10;20011,36952205,-86013306,1450,295,10;
21013,36952259,-86013379,1610,297,10;22013,36952296,-86013462,1670,300,10;23012,36952335,-86013539,1610,303,10;
24013,36952378,-86013621,1560,303,10;25014,36952420,-86013699,1610,304,10;26014,36952461,-86013777,1610,306,10;
27014,36952506,-86013854,1610,306,10;28014,36952552,-86013933,1670,306,10;29014,36952590,-86014026,1720,307,10;
30015,36952647,-86014113,1830,307,10;31016,36952703,-86014201,1880,307,10;32017,36952760,-86014293,1940,308,10;
33018,36952819,-86014392,2050,308,10;34019,36952882,-86014493,2150,309,10;35022,36952948,-86014601,2260,309,10;
36021,36953026,-86014692,2260,307,10;37023,36953080,-86014785,1990,306,10;38023,36953126,-86014874,1720,294,10;
39024,36953152,-86014975,1610,276,10;40025,36953152,-86015084,1510,255,10;41025,36953121,-86015181,1400,241,10;
42026,36953060,-86015262,1450,222,10;43026,36952976,-86015321,1610,206,10;44027,36952881,-86015358,1830,192,10;
45029,36952784,-86015377,1940,186,10;46028,36952685,-86015386,1990,182,10;47028,36952590,-86015387,1990,179,10;
48029,36952496,-86015381,1940,175,10;49030,36952404,-86015369,1940,173,10;50030,36952305,-86015343,1990,165,10;
51031,36952212,-86015311,2050,164,10;52032,36952124,-86015276,1940,161,10;53033,36952058,-86015251,1610,168,10;
54032,36951995,-86015244,1450,175,10;55032,36951938,-86015254,1400,188,10;56035,36951886,-86015289,1510,206,10;
57034,36951835,-86015343,1670,222,10;58037,36951786,-86015413,1780,233,10;59038,36951732,-86015503,1830,233,10;
60035,36951683,-86015591,1880,236,10;61037,36951640,-86015670,1610,236,10;62038,36951608,-86015729,1290,236,10;
63038,36951586,-86015769,910,236,10;64038,36951562,-86015779,480,236,10;65038,36951558,-86015790,160,236,10;
66040,36951556,-86015818,370,236,10;67041,36951558,-86015861,910,298,10;68041,36951623,-86015928,1290,336,10;
69042,36951701,-86015962,1670,340,10;70042,36951795,-86015999,2050,342,10;71043,36951903,-86016041,2320,344,10;
72045,36952019,-86016081,2480,347,10;73045,36952143,-86016115,2690,351,10;74045,36952274,-86016135,2800,356,10;
75046,36952410,-86016144,2860,358,10;76047,36952551,-86016144,2960,1,10;77048,36952693,-86016133,3020,7,10;
78048,36952840,-86016115,3130,9,10;79050,36952990,-86016090,3180,12,10;80050,36953142,-86016055,3290,14,10;
81050,36953296,-86016019,3340,13,10;82050,36953446,-86015958,3340,12,10;83053,36953601,-86015915,3340,12,10;
84053,36953757,-86015873,3340,12,10;85056,36953916,-86015830,3400,12,10;86055,36954079,-86015808,3400,12,10;
87055,36954238,-86015764,3450,12,10;88056,36954396,-86015723,3400,12,10;89057,36954553,-86015681,3400,12,10;
90057,36954705,-86015633,3340,13,10;91057,36954855,-86015576,3290,19,10;92057,36955001,-86015505,3290,22,10;
93057,36955143,-86015421,3290,26,10;94058,36955275,-86015321,3290,33,10;95058,36955395,-86015203,3230,39,10;
96060,36955504,-86015068,3230,42,10;97061,36955603,-86014922,3230,50,10;98062,36955693,-86014769,3230,56,10;
99062,36955774,-86014608,3180,57,10;100062,36955855,-86014447,3180,58,10;101063,36955939,-86014290,3180,58,10;
102062,36956028,-86014135,3230,56,10;103062,36956127,-86013990,3230,50,10;104063,36956236,-86013857,3230,44,10;
105064,36956360,-86013734,3290,36,10;106064,36956498,-86013622,3450,32,10;107064,36956651,-86013525,3610,27,10;
108065,36956810,-86013425,3720,20,10;109066,36956980,-86013351,3770,19,10;110066,36957151,-86013286,3770,17,10;
