# Rådata, tur 5fa4cf65-8727-4426-a660-0d2ee301663f (Tom, bil, 2,7 mi-turen, 2026-09-11 00:22–00:27 UTC)
# Exporterad ur gps_points 2026-09-11. 299 fixar, alla med rådata. T0 = 2026-09-11 00:22:42.945+00
# Kolumner: ms_sedan_start,raw_lat*1e6,raw_lng*1e6,enhetsfart_kn*100,kurs_grader,accuracy_m ; radskiljare ';'
# Sparat i databasen: distance 2.42 NM (summa utjämnade positioner, före beslutet 11/9), average 30.3, max 40.4, duration_seconds 295.
# Facit mot bil: bilens Trip 1 nollställd: 2,7 mi = 2,30–2,39 NM (foto). ∫Doppler ger 2,341.
0,37116566,-86258951,0,196,10;1001,37116566,-86258951,0,196,10;2001,37116566,-86258951,0,196,10;
3004,37116566,-86258951,0,196,10;4004,37116566,-86258951,0,196,10;5003,37116566,-86258951,0,196,10;
6004,37116566,-86258951,0,196,10;7006,37116566,-86258951,0,196,10;8006,37116566,-86258951,0,196,10;
9007,37116566,-86258951,0,196,10;10010,37116566,-86258951,0,196,10;11008,37116558,-86258953,50,196,10;
12011,37116541,-86258958,260,193,10;13009,37116515,-86258966,430,192,10;14009,37116471,-86258978,750,192,10;
15010,37116406,-86258999,1070,194,10;16011,37116332,-86259022,1450,194,10;17012,37116248,-86259047,1720,194,10;
18012,37116156,-86259075,1940,194,10;19013,37116057,-86259104,2050,195,10;20013,37115956,-86259135,2150,195,10;
21013,37115854,-86259167,2210,194,10;22013,37115758,-86259196,2150,192,10;23014,37115655,-86259218,2150,190,10;
24016,37115549,-86259238,2210,187,10;25016,37115438,-86259252,2320,186,10;26016,37115324,-86259265,2370,185,10;
27017,37115205,-86259278,2480,185,10;28017,37115078,-86259293,2640,185,10;29018,37114941,-86259316,2800,187,10;
30019,37114795,-86259351,3070,192,10;31019,37114642,-86259395,3230,193,10;32022,37114482,-86259445,3450,195,10;
33024,37114320,-86259498,3560,196,10;34024,37114157,-86259556,3610,198,10;35026,37113999,-86259621,3560,200,10;
36025,37113838,-86259693,3610,201,10;37027,37113680,-86259765,3610,199,10;38027,37113521,-86259836,3610,198,10;
39028,37113361,-86259904,3610,198,10;40029,37113203,-86259967,3560,198,10;41030,37113054,-86260028,3450,199,10;
42031,37112912,-86260089,3230,200,10;43031,37112770,-86260154,3180,200,10;44032,37112622,-86260224,3290,200,10;
45032,37112467,-86260301,3450,200,10;46033,37112309,-86260379,3610,200,10;47034,37112149,-86260455,3610,200,10;
48034,37111987,-86260524,3660,200,10;49038,37111830,-86260581,3560,198,10;50037,37111685,-86260642,3340,192,10;
51039,37111540,-86260662,3130,180,10;52037,37111403,-86260640,2910,169,10;53038,37111277,-86260576,2750,156,10;
54043,37111163,-86260498,2690,151,10;55039,37111044,-86260411,2800,149,10;56040,37110921,-86260314,3020,148,10;
57041,37110801,-86260218,3070,148,10;58040,37110685,-86260128,2960,146,10;59043,37110574,-86260030,2860,143,10;
60044,37110462,-86259925,2910,143,10;61044,37110346,-86259817,3020,145,10;62046,37110221,-86259719,3130,148,10;
63047,37110089,-86259629,3180,152,10;64047,37109958,-86259523,3290,155,10;65047,37109817,-86259450,3290,160,10;
66046,37109677,-86259387,3230,162,10;67046,37109534,-86259347,3130,167,10;68048,37109385,-86259328,3130,178,10;
69049,37109226,-86259331,3230,185,10;70049,37109059,-86259355,3500,190,10;71051,37108886,-86259397,3660,191,10;
72050,37108710,-86259455,3830,196,10;73052,37108530,-86259521,3940,197,10;74053,37108348,-86259600,4040,199,10;
75052,37108166,-86259686,4150,202,10;76053,37107985,-86259779,4150,203,10;77054,37107804,-86259873,4150,204,10;
78056,37107628,-86259966,4100,203,10;79056,37107456,-86260059,4040,204,10;80056,37107291,-86260150,3940,204,10;
81056,37107132,-86260239,3770,204,10;82056,37106978,-86260326,3610,205,10;83057,37106825,-86260413,3560,205,10;
84059,37106671,-86260501,3610,205,10;85059,37106516,-86260587,3610,205,10;86058,37106362,-86260673,3610,204,10;
87062,37106209,-86260757,3560,205,10;88061,37106054,-86260840,3560,204,10;89065,37105898,-86260924,3610,204,10;
90064,37105746,-86261008,3610,203,10;91064,37105598,-86261091,3500,205,10;92064,37105453,-86261173,3400,205,10;
93064,37105306,-86261260,3400,206,10;94064,37105152,-86261351,3560,205,10;95066,37104994,-86261444,3660,205,10;
96067,37104834,-86261538,3720,205,10;97069,37104668,-86261636,3830,205,10;98069,37104497,-86261737,3990,205,10;
99069,37104325,-86261839,4040,205,10;100071,37104153,-86261940,4040,205,10;101071,37103981,-86262040,4040,205,10;
102071,37103810,-86262137,4040,205,10;103072,37103641,-86262233,3990,205,10;104072,37103475,-86262327,3940,205,10;
105072,37103319,-86262441,3880,205,10;106073,37103159,-86262534,3770,204,10;107074,37102996,-86262604,3720,204,10;
108074,37102845,-86262694,3610,205,10;109076,37102694,-86262784,3560,205,10;110074,37102542,-86262875,3560,205,10;
111075,37102390,-86262965,3560,205,10;112079,37102233,-86263057,3610,206,10;113078,37102073,-86263150,3720,207,10;
114081,37101926,-86263263,3720,206,10;115081,37101775,-86263353,3610,206,10;116082,37101620,-86263425,3560,206,10;
117083,37101471,-86263520,3500,207,10;118082,37101316,-86263623,3660,207,10;119082,37101157,-86263730,3830,207,10;
120083,37100997,-86263835,3880,208,10;121084,37100838,-86263940,3830,208,10;122085,37100681,-86264043,3830,207,10;
123085,37100525,-86264143,3770,207,10;124086,37100372,-86264243,3720,208,10;125086,37100222,-86264342,3660,208,10;
126087,37100076,-86264440,3560,208,10;127088,37099936,-86264534,3500,206,10;128089,37099807,-86264619,3290,208,10;
129090,37099687,-86264697,2960,208,10;130091,37099569,-86264774,2860,208,10;131090,37099449,-86264846,2800,206,10;
132094,37099326,-86264915,2860,205,10;133095,37099210,-86264998,2860,205,10;134098,37099090,-86265063,2800,203,10;
135095,37098973,-86265122,2750,201,10;136097,37098866,-86265174,2590,201,10;137097,37098770,-86265196,2260,200,10;
138099,37098704,-86265241,1780,199,10;139099,37098658,-86265296,1450,199,10;140101,37098625,-86265332,1290,242,10;
141101,37098629,-86265437,1240,266,10;142102,37098651,-86265519,1340,307,10;143102,37098708,-86265598,1610,307,10;
144105,37098772,-86265702,1990,308,10;145102,37098842,-86265812,2260,308,10;146102,37098918,-86265932,2530,308,10;
147103,37098995,-86266050,2590,309,10;148103,37099074,-86266169,2590,310,10;149110,37099155,-86266291,2640,310,10;
150105,37099238,-86266418,2750,309,10;151105,37099322,-86266548,2800,309,10;152106,37099405,-86266679,2860,309,10;
153108,37099489,-86266800,2750,312,10;154109,37099571,-86266913,2640,312,10;155112,37099649,-86267028,2590,310,10;
156113,37099719,-86267137,2480,308,10;157112,37099782,-86267250,2320,300,10;158116,37099824,-86267371,2210,294,10;
159115,37099845,-86267498,2150,281,10;160113,37099841,-86267629,2050,264,10;161115,37099812,-86267759,2100,252,10;
162116,37099769,-86267899,2320,247,10;163116,37099715,-86268051,2640,245,10;164118,37099649,-86268220,3020,243,10;
165118,37099575,-86268399,3340,242,10;166119,37099496,-86268580,3450,240,10;167121,37099414,-86268756,3500,240,10;
168123,37099332,-86268931,3450,239,10;169122,37099252,-86269098,3400,239,10;170126,37099177,-86269255,3230,239,10;
171128,37099104,-86269400,3020,238,10;172131,37099033,-86269536,2800,237,10;173132,37098963,-86269674,2750,239,10;
174130,37098898,-86269819,2800,242,10;175130,37098835,-86269977,2960,244,10;176132,37098778,-86270147,3130,249,10;
177130,37098726,-86270327,3290,251,10;178131,37098675,-86270510,3290,251,10;179132,37098626,-86270690,3290,252,10;
180135,37098580,-86270869,3230,252,10;181136,37098536,-86271050,3180,253,10;182135,37098491,-86271235,3290,253,10;
183137,37098441,-86271427,3340,252,10;184136,37098384,-86271618,3450,248,10;185145,37098325,-86271802,3450,248,10;
186138,37098261,-86271990,3340,246,10;187138,37098192,-86272180,3450,244,10;188139,37098118,-86272371,3560,243,10;
189139,37098043,-86272559,3610,243,10;190139,37097969,-86272747,3560,244,10;191141,37097893,-86272936,3560,243,10;
192144,37097817,-86273123,3560,242,10;193141,37097741,-86273303,3500,242,10;194144,37097664,-86273483,3450,242,10;
195144,37097588,-86273661,3450,242,10;196146,37097515,-86273834,3400,242,10;197146,37097442,-86274002,3290,240,10;
198147,37097365,-86274160,3180,238,10;199147,37097288,-86274312,3070,238,10;200150,37097212,-86274462,3020,238,10;
201056,37097212,-86274462,3130,238,10;201150,37097104,-86274588,3020,236,10;202149,37097021,-86274742,3070,236,10;
203151,37096965,-86274930,3230,235,10;204153,37096877,-86275088,3290,235,10;205153,37096792,-86275244,3290,237,10;
206153,37096711,-86275401,3180,237,10;207154,37096630,-86275556,3130,237,10;208156,37096550,-86275713,3180,237,10;
209056,37096550,-86275713,3239,237,10;209158,37096443,-86275851,3180,237,10;210159,37096360,-86276009,3180,237,10;
211158,37096302,-86276189,3230,237,10;212160,37096219,-86276346,3230,237,10;213162,37096136,-86276504,3230,237,10;
214163,37096055,-86276658,3180,237,10;215163,37095976,-86276806,3070,236,10;216164,37095899,-86276949,2960,236,10;
217164,37095823,-86277091,2910,236,10;218165,37095747,-86277233,2910,236,10;219167,37095669,-86277376,2910,236,10;
220167,37095591,-86277521,2960,236,10;221168,37095512,-86277668,3020,236,10;222169,37095433,-86277814,3020,236,10;
223169,37095354,-86277961,3020,236,10;224169,37095276,-86278107,3020,236,10;225171,37095195,-86278257,3020,236,10;
226170,37095112,-86278411,3130,236,10;227171,37095026,-86278570,3230,236,10;228172,37094942,-86278726,3290,236,10;
229171,37094863,-86278872,3130,236,10;230171,37094793,-86279004,2860,236,10;231182,37094727,-86279126,2590,236,10;
232175,37094666,-86279241,2420,236,10;233175,37094608,-86279348,2260,236,10;234176,37094554,-86279449,2100,236,10;
235178,37094501,-86279549,2050,236,10;236181,37094445,-86279653,2100,236,10;237182,37094386,-86279764,2210,236,10;
238182,37094325,-86279878,2260,236,10;239183,37094261,-86279997,2420,236,10;240182,37094197,-86280117,2420,236,10;
241183,37094134,-86280234,2420,236,10;242183,37094072,-86280350,2370,236,10;243185,37094011,-86280463,2320,236,10;
244185,37093947,-86280582,2370,236,10;245186,37093880,-86280708,2530,236,10;246186,37093808,-86280841,2640,236,10;
247186,37093732,-86280981,2800,236,10;248187,37093655,-86281121,2910,236,10;249188,37093579,-86281260,2860,236,10;
250190,37093502,-86281400,2860,236,10;251192,37093425,-86281543,2910,236,10;252193,37093346,-86281686,2960,235,10;
253191,37093265,-86281832,2960,235,10;254194,37093179,-86281978,3020,233,10;255194,37093093,-86282122,3070,233,10;
256195,37093006,-86282268,3070,233,10;257195,37092917,-86282417,3130,233,10;258198,37092827,-86282568,3180,233,10;
259199,37092739,-86282721,3230,236,10;260198,37092652,-86282881,3290,236,10;261199,37092571,-86283040,3230,239,10;
262199,37092498,-86283198,3180,243,10;263200,37092432,-86283361,3130,246,10;264206,37092374,-86283529,3130,248,10;
265202,37092319,-86283704,3180,249,10;266205,37092255,-86283879,3230,253,10;267205,37092218,-86284069,3290,257,10;
268204,37092188,-86284264,3340,260,10;269205,37092163,-86284462,3400,261,10;270205,37092139,-86284661,3450,261,10;
271206,37092115,-86284858,3400,261,10;272206,37092089,-86285052,3400,261,10;273206,37092060,-86285240,3340,258,10;
274222,37092025,-86285423,3230,257,10;275222,37091985,-86285601,3180,255,10;276220,37091959,-86285778,3070,253,10;
277222,37091915,-86285944,3020,251,10;278223,37091869,-86286104,2910,250,10;279225,37091806,-86286250,2860,248,10;
280226,37091760,-86286398,2750,246,10;281226,37091714,-86286540,2640,246,10;282227,37091667,-86286677,2590,246,10;
283227,37091621,-86286806,2480,245,10;284228,37091578,-86286921,2260,245,10;285229,37091543,-86287016,1990,245,10;
286232,37091516,-86287089,1560,245,10;287233,37091495,-86287146,1180,245,10;288233,37091482,-86287183,860,245,10;
289233,37091474,-86287206,530,245,10;290234,37091468,-86287222,320,245,10;291241,37091466,-86287229,210,245,10;
292236,37091466,-86287229,0,245,10;293236,37091466,-86287229,0,245,10;294238,37091466,-86287229,0,245,10;
306248,37091466,-86287229,0,247,10;307247,37091466,-86287229,0,247,10;
