# Rådata, tur 828d8cbc-9bc8-431f-8b08-5b19b4510852 (Tom, bil, 12 NM-turen, 2026-09-11 00:47–01:06 UTC)
# Exporterad ur gps_points 2026-09-11. 1081 fixar, alla med rådata. T0 = 2026-09-11 00:47:53.534+00
# Kolumner: ms_sedan_start,raw_lat*1e6,raw_lng*1e6,enhetsfart_kn*100,kurs_grader,accuracy_m ; radskiljare ';'
# Sparat i databasen: distance 12.41 NM (summa utjämnade positioner, före beslutet 11/9), average 41.1, max 71.2, duration_seconds 1081.
# Facit mot bil: bilens Trip 2 fotades 50–110 s efter spara i 54–82 mph (16,4 mi) — ogiltigt som facit. Skärm på hela turen: 1 Hz, ingen lucka > 5 s.
0,37095727,-86277255,0,58,10;1000,37095727,-86277255,0,58,10;2001,37095727,-86277255,0,58,10;
3001,37095727,-86277255,0,58,10;4129,37095727,-86277255,0,58,10;5002,37095727,-86277255,0,58,10;
6003,37095727,-86277255,0,58,10;7027,37095727,-86277255,0,58,10;8004,37095730,-86277249,0,58,10;
8466,37095730,-86277249,0,56,10;9003,37095738,-86277235,100,57,10;10007,37095753,-86277208,260,55,10;
11005,37095774,-86277171,530,54,10;12005,37095799,-86277126,750,54,10;13009,37095810,-86277041,910,56,10;
14010,37095847,-86276971,1180,56,10;15011,37095891,-86276890,1400,56,10;16013,37095941,-86276797,1670,56,10;
17015,37095996,-86276692,1880,57,10;18012,37096059,-86276574,2150,57,10;19016,37096124,-86276451,2320,57,10;
20016,37096193,-86276319,2530,57,10;21020,37096266,-86276181,2640,57,10;22020,37096340,-86276041,2800,57,10;
23018,37096415,-86275899,2860,57,10;24020,37096489,-86275755,2910,57,10;25021,37096565,-86275607,2910,57,10;
26021,37096642,-86275457,2960,57,10;27022,37096721,-86275304,3020,57,10;28027,37096803,-86275148,3130,57,10;
29024,37096887,-86274997,3130,55,10;30025,37096969,-86274850,3130,55,10;31025,37097045,-86274710,3020,57,10;
32026,37097113,-86274578,2910,57,10;33027,37097178,-86274453,2690,57,10;34028,37097240,-86274329,2530,58,10;
35029,37097305,-86274201,2480,58,10;36030,37097375,-86274062,2530,58,10;37028,37097447,-86273906,2800,60,10;
38031,37097519,-86273737,3070,62,10;39029,37097592,-86273564,3290,62,10;40029,37097664,-86273394,3290,62,10;
41029,37097736,-86273224,3290,62,10;42030,37097808,-86273056,3230,62,10;43029,37097876,-86272886,3230,63,10;
44029,37097944,-86272715,3230,64,10;45029,37098011,-86272546,3230,64,10;46029,37098078,-86272379,3180,63,10;
47031,37098142,-86272214,3180,64,10;48033,37098203,-86272051,3130,66,10;49038,37098260,-86271889,3070,68,10;
50036,37098315,-86271722,3020,68,10;51036,37098368,-86271553,3070,70,10;52038,37098418,-86271380,3070,72,10;
53039,37098464,-86271201,3130,73,10;54039,37098509,-86271017,3180,73,10;55040,37098571,-86270835,3290,72,10;
56040,37098619,-86270647,3340,72,10;57041,37098669,-86270463,3340,71,10;58039,37098704,-86270278,3290,71,10;
59041,37098755,-86270104,3180,69,10;60041,37098813,-86269938,3130,64,10;61041,37098876,-86269781,3020,62,10;
62041,37098946,-86269628,2960,59,10;63041,37099027,-86269472,2960,57,10;64042,37099113,-86269306,3130,58,10;
65042,37099198,-86269129,3400,59,10;66045,37099286,-86268946,3500,59,10;67043,37099372,-86268764,3610,60,10;
68045,37099457,-86268583,3610,60,10;69044,37099538,-86268398,3560,62,10;70047,37099615,-86268210,3610,63,10;
71047,37099687,-86268027,3610,65,10;72049,37099747,-86267858,3500,67,10;73048,37099791,-86267707,3130,72,10;
74048,37099827,-86267576,2750,79,10;75048,37099811,-86267451,2420,94,10;76047,37099774,-86267335,2150,109,10;
77049,37099716,-86267218,2100,114,10;78048,37099643,-86267095,2320,128,10;79049,37099561,-86266963,2590,130,10;
80050,37099473,-86266825,2800,132,10;81051,37099380,-86266682,2960,129,10;82052,37099284,-86266536,3130,129,10;
83051,37099185,-86266384,3180,130,10;84053,37099086,-86266226,3340,130,10;85053,37098973,-86266082,3400,129,10;
86053,37098877,-86265934,3400,128,10;87054,37098792,-86265800,3180,128,10;88054,37098720,-86265687,2910,128,10;
89054,37098664,-86265594,2420,127,10;90055,37098622,-86265525,1940,127,10;91069,37098593,-86265476,1450,127,10;
92055,37098586,-86265435,1020,131,10;93056,37098564,-86265412,640,131,10;94056,37098535,-86265391,590,131,10;
95056,37098491,-86265373,700,131,10;96058,37098467,-86265326,970,168,10;97058,37098338,-86265371,1340,191,10;
98060,37098232,-86265391,1880,189,10;99061,37098116,-86265411,2260,188,10;100061,37098000,-86265429,2420,186,10;
101062,37097880,-86265445,2480,186,10;102063,37097746,-86265462,2590,186,10;103064,37097598,-86265480,2860,186,10;
104065,37097443,-86265499,3180,186,10;105067,37097289,-86265517,3290,186,10;106068,37097131,-86265537,3290,186,10;
107070,37096981,-86265554,3400,184,10;108071,37096841,-86265566,3180,184,10;109071,37096699,-86265580,2960,184,10;
110073,37096550,-86265594,3020,184,10;111073,37096392,-86265606,3180,184,10;112074,37096227,-86265618,3340,183,10;
113077,37096060,-86265628,3500,183,10;114078,37095895,-86265638,3560,183,10;115078,37095733,-86265648,3500,183,10;
116079,37095577,-86265660,3450,183,10;117078,37095426,-86265671,3340,182,10;118080,37095280,-86265681,3180,182,10;
119082,37095134,-86265690,3130,182,10;120084,37094982,-86265698,3070,183,10;121087,37094823,-86265709,3230,183,10;
122088,37094660,-86265719,3400,183,10;123089,37094494,-86265731,3450,183,10;124090,37094323,-86265744,3500,183,10;
125089,37094147,-86265755,3660,184,10;126091,37093974,-86265770,3720,185,10;127092,37093807,-86265787,3660,185,10;
128094,37093656,-86265806,3560,185,10;129094,37093516,-86265824,3230,187,10;130099,37093372,-86265843,2960,187,10;
131102,37093211,-86265866,3070,187,10;132102,37093040,-86265895,3450,188,10;133103,37092862,-86265926,3660,188,10;
134102,37092681,-86265958,3830,189,10;135105,37092499,-86265995,3880,190,10;136106,37092311,-86266034,3940,190,10;
137106,37092115,-86266077,4040,190,10;138107,37091916,-86266123,4260,191,10;139110,37091719,-86266171,4310,192,10;
140109,37091529,-86266215,4260,192,10;141110,37091355,-86266277,4100,190,10;142111,37091181,-86266314,3830,189,10;
143112,37091009,-86266350,3770,189,10;144111,37090845,-86266395,3720,192,10;145111,37090678,-86266440,3610,192,10;
146112,37090508,-86266485,3610,193,10;147113,37090330,-86266538,3720,193,10;148113,37090144,-86266590,3880,192,10;
149114,37089954,-86266640,4040,192,10;150114,37089758,-86266697,4150,194,10;151114,37089561,-86266755,4310,193,10;
152114,37089367,-86266810,4310,193,10;153115,37089179,-86266861,4260,192,10;154118,37088998,-86266890,4100,193,10;
155122,37088822,-86266940,3880,193,10;156120,37088650,-86267011,3830,193,10;157118,37088475,-86267059,3830,192,10;
158120,37088304,-86267104,3830,192,10;159120,37088125,-86267134,3770,193,10;160121,37087945,-86267188,3830,194,10;
161121,37087760,-86267245,3990,194,10;162122,37087578,-86267301,4040,194,10;163122,37087405,-86267356,3990,194,10;
164124,37087241,-86267408,3830,194,10;165123,37087085,-86267456,3610,194,10;166123,37086926,-86267506,3450,194,10;
167125,37086755,-86267563,3500,194,10;168126,37086566,-86267625,3770,194,10;169126,37086368,-86267688,4150,194,10;
170128,37086171,-86267751,4370,194,10;171129,37085974,-86267813,4370,194,10;172131,37085775,-86267875,4370,194,10;
173131,37085579,-86267938,4370,195,10;174131,37085386,-86268002,4370,195,10;175133,37085196,-86268064,4260,195,10;
176133,37085013,-86268126,4150,196,10;177135,37084835,-86268190,4040,196,10;178134,37084660,-86268257,3990,196,10;
179135,37084491,-86268333,3880,200,10;180135,37084329,-86268421,3830,204,10;181138,37084178,-86268519,3770,209,10;
182137,37084038,-86268626,3610,215,10;183138,37083914,-86268744,3500,219,10;184138,37083803,-86268866,3340,221,10;
185139,37083702,-86268989,3130,225,10;186139,37083606,-86269113,3020,227,10;187142,37083510,-86269239,2960,227,10;
188142,37083416,-86269367,2960,227,10;189142,37083323,-86269498,2960,226,10;190144,37083223,-86269623,3020,226,10;
191144,37083116,-86269733,3020,222,10;192146,37083000,-86269835,2960,214,10;193146,37082875,-86269931,3020,208,10;
194145,37082740,-86270024,3130,208,10;195145,37082611,-86270109,3290,208,10;196145,37082495,-86270184,3130,206,10;
197146,37082391,-86270247,2800,204,10;198147,37082295,-86270293,2480,204,10;199148,37082200,-86270317,2150,197,10;
200148,37082097,-86270312,2050,186,10;201150,37081994,-86270265,2210,170,10;202152,37081881,-86270198,2320,146,10;
202467,37081882,-86270191,3021,137,10;203152,37081796,-86270046,2590,139,10;204155,37081692,-86269894,3020,132,10;
205153,37081588,-86269740,3400,130,10;206155,37081480,-86269596,3450,133,10;207157,37081368,-86269473,3340,145,10;
208156,37081250,-86269384,3180,151,10;209156,37081122,-86269325,2960,162,10;210156,37080981,-86269300,2910,174,10;
211158,37080829,-86269301,3020,182,10;212160,37080661,-86269320,3230,190,10;213159,37080504,-86269373,3560,191,10;
214159,37080307,-86269422,3880,192,10;215160,37080148,-86269474,3880,196,10;216160,37080008,-86269518,3500,201,10;
217161,37079900,-86269601,3130,209,10;218160,37079779,-86269734,2960,229,10;219161,37079669,-86269879,3130,227,10;
220161,37079562,-86270049,3400,227,10;221162,37079436,-86270166,3660,222,10;222162,37079296,-86270339,3660,217,10;
223163,37079151,-86270460,3770,212,10;224163,37078976,-86270586,4040,209,10;225164,37078794,-86270710,4310,208,10;
226167,37078616,-86270831,4420,210,10;227167,37078441,-86270959,4310,211,10;228167,37078272,-86271081,4310,208,10;
229168,37078109,-86271185,4100,206,10;230170,37077949,-86271272,3880,203,10;231171,37077789,-86271338,3660,195,10;
232171,37077640,-86271372,3450,189,10;233170,37077510,-86271383,3020,183,10;234171,37077386,-86271381,2690,178,10;
235171,37077250,-86271367,2590,173,10;236172,37077098,-86271337,2910,169,10;237172,37076938,-86271292,3230,167,10;
238175,37076776,-86271237,3500,165,10;239175,37076617,-86271185,3610,165,10;240176,37076472,-86271137,3400,165,10;
241178,37076336,-86271089,3180,164,10;242177,37076200,-86271039,3070,163,10;243178,37076062,-86270985,3020,162,10;
244178,37075919,-86270928,3070,162,10;245178,37075769,-86270866,3180,162,10;246177,37075612,-86270799,3450,160,10;
247177,37075450,-86270725,3500,160,10;248178,37075282,-86270645,3720,159,10;249179,37075109,-86270557,3830,156,10;
250180,37074936,-86270457,3940,155,10;251180,37074761,-86270350,4040,153,10;252183,37074582,-86270235,4150,153,10;
253183,37074408,-86270122,4210,153,10;254185,37074231,-86270008,4260,153,10;255187,37074063,-86269899,4260,152,10;
256187,37073903,-86269794,4040,152,10;257187,37073747,-86269692,3830,152,10;258187,37073597,-86269593,3720,152,10;
259190,37073448,-86269494,3610,152,10;260189,37073297,-86269394,3610,152,10;261191,37073143,-86269292,3660,152,10;
262191,37072983,-86269185,3720,152,10;263196,37072820,-86269076,3830,152,10;264195,37072653,-86268965,3990,152,10;
